id,dc.degree.name,Field,Department,College,dc.degree.discipline,dc.identifier.uri,dc.date.copyright,,,Comment
33856,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/29605,7/20/2005,Health and Human Sciences,2005,
10793,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/8459,4/25/2008,Health and Human Sciences,2008,
11369,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/8928,6/6/2008,Health and Human Sciences,2008,
11914,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/9337,8/8/2008,Health and Human Sciences,2008,
13171,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/10406,12/9/2008,Health and Human Sciences,2008,
12933,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/10157,12/11/2008,Health and Human Sciences,2008,
22706,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/19059,10/22/2010,Health and Human Sciences,2010,
23222,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/19484,10/29/2010,Health and Human Sciences,2010,
24535,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/20679,3/16/2011,Health and Human Sciences,2011,
25127,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/21165,4/20/2011,Health and Human Sciences,2011,
26512,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/22428,5/23/2011,Health and Human Sciences,2011,
25770,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/21756,6/6/2011,Health and Human Sciences,2011,
27775,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/23655,9/12/2011,Health and Human Sciences,2011,
34628,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/30279,6/8/2012,Health and Human Sciences,2012,
35777,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/30839,6/21/2012,Health and Human Sciences,2012,
36584,Master of Science (M.S.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/31582,7/19/2012,Health and Human Sciences,2012,
36811,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/31678,7/23/2012,Health and Human Sciences,2012,
41416,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/36092,12/5/2012,Health and Human Sciences,2012,
44233,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/38574,5/2/2013,Health and Human Sciences,2013,
44153,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/38564,5/3/2013,Health and Human Sciences,2013,
48191,Doctor of Philosophy (Ph. D.),Exercise and Sport Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/42773,9/3/2013,Health and Human Sciences,2013,
14275,Doctor of Philosophy (Ph. D.),Exercise and Sports Science,Exercise and Sport Science,,Health and Human Sciences,http://hdl.handle.net/1957/11289,4/2/2009,Health and Human Sciences,2009,
46691,Master of Science (M.S.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/40935,3/12/1984,Health and Human Sciences,1984,
46418,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/40365,2/28/1985,Health and Human Sciences,1985,
45825,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/40499,11/25/1985,Health and Human Sciences,1985,
46342,Master of Science (M.S.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/40341,4/21/1986,Health and Human Sciences,1986,
45708,Master of Science (M.S.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/39677,4/24/1986,Health and Human Sciences,1986,
46498,Master of Science (M.S.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/40485,7/8/1986,Health and Human Sciences,1986,
45178,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/39709,2/16/1987,Health and Human Sciences,1987,
44540,Master of Science (M.S.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/39711,3/10/1989,Health and Human Sciences,1989,
43570,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/38219,6/6/1989,Health and Human Sciences,1989,
43371,Master of Science (M.S.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/38090,4/25/1991,Health and Human Sciences,1991,
43148,Master of Science (M.S.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/37670,5/2/1991,Health and Human Sciences,1991,
41820,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/36334,7/23/1991,Health and Human Sciences,1991,
42045,Master of Science (M.S.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/36567,2/21/1992,Health and Human Sciences,1992,
41037,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/36087,5/21/1992,Health and Human Sciences,1992,
41156,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/35954,6/3/1992,Health and Human Sciences,1992,
41099,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/35945,12/8/1992,Health and Human Sciences,1992,
40916,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/35733,8/24/1993,Health and Human Sciences,1993,
40221,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/35226,6/1/1994,Health and Human Sciences,1994,
40131,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/34983,2/20/1995,Health and Human Sciences,1995,
39540,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/34499,3/19/1996,Health and Human Sciences,1996,
38869,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/33825,12/9/1997,Health and Human Sciences,1997,
35935,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/31163,7/22/2002,Health and Human Sciences,2002,
35186,Doctor of Philosophy (Ph. D.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/30236,10/4/2002,Health and Human Sciences,2002,
26547,Master of Science (M.S.),Family Resource Management,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/22450,8/31/2004,Health and Human Sciences,2004,
40333,Master of Science (M.S.),Family Studies,Human Development and Family Sciences,,Health and Human Sciences,http://hdl.handle.net/1957/35174,3/7/1995,Health and Human Sciences,1995,
30818,Master of Science (M.S.),Food and Nutrition,Nutrition and Food Management,,Health and Human Sciences,http://hdl.handle.net/1957/26131,,Health and Human Sciences,1904,
31708,Doctor of Philosophy (Ph. D.),Foods and Nutrition,Nutrition and Food Management,,Health and Human Sciences,http://hdl.handle.net/1957/27090,,Health and Human Sciences,1904,
30629,Master of Science (M.S.),Foods and Nutrition,Nutrition and Food Management,,Health and Human Sciences,http://hdl.handle.net/1957/26168,,Health and Human Sciences,1904,
30664,Master of Science (M.S.),Foods and Nutrition,Nutrition and Food Management,,Health and Human Sciences,http://hdl.handle.net/1957/26011,,Health and Human Sciences,1904,
30673,Master of Science (M.S.),Foods and Nutrition,Nutrition and Food Management,,Health and Human Sciences,http://hdl.handle.net/1957/26173,,Health and Human Sciences,1904,
30793,Master of Science (M.S.),Foods and Nutrition,Nutrition and Food Management,,Health and Human Sciences,http://hdl.handle.net/1957/26072,,Health and Human Sciences,1904,
30796,Master of Science (M.S.),Foods and Nutrition,Nutrition and Food Management,,Health and Human Sciences,http://hdl.handle.net/1957/26067,,Health and Human Sciences,1904,
30797,Master of Science (M.S.),Foods and Nutrition,Nutrition and Food Management,,Health and Human Sciences,http://hdl.handle.net/1957/26134,,Health and Human Sciences,1904,
